route_id,organisation,category,contact_type,contact_value,hours,coverage,is_emergency,notes
R-0059,Protection Against Stalking,Online safety,Online form,https://example.invalid/protection-against-stalking,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0060,Action Fraud,Safeguarding referral,24/7 helpline,0808 724 2934,24/7,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0061,Stop Hate UK,Peer support,In person,https://example.invalid/stop-hate-uk,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0062,Cambridgeshire Constabulary,Mental health support,Email,support62@example.invalid,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0063,Citizens Advice,Victim support,Email,support63@example.invalid,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0064,Standards Committee,Employer HR route,Online form,https://example.invalid/standards-committee,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0065,Samaritans,Police emergency,In person,https://example.invalid/samaritans,24/7,National,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0066,Suzy Lamplugh Trust,Victim support,In person,https://example.invalid/suzy-lamplugh-trust,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0067,Cambridgeshire Constabulary,Victim support,Telephone,0808 616 6377,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0068,Cambridgeshire Constabulary,Online safety,Telephone,0808 544 8134,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0069,National Cyber Security Centre,Legal advice,Telephone,0808 760 9107,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0070,Internet Watch Foundation,Online safety,In person,https://example.invalid/internet-watch-foundation,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0071,Monitoring Officer,Employer HR route,24/7 helpline,0808 549 1356,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0072,Samaritans,Employer HR route,In person,https://example.invalid/samaritans,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0073,Citizens Advice,Legal advice,In person,https://example.invalid/citizens-advice,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0074,Victim Support,Mental health support,24/7 helpline,0808 263 2089,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0075,Citizens Advice,Peer support,Online form,https://example.invalid/citizens-advice,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0076,Protection Against Stalking,Online safety,Telephone,0808 424 2164,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0077,National Cyber Security Centre,Employer HR route,Telephone,0808 719 6485,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0078,Citizens Advice,Advocacy,Online form,https://example.invalid/citizens-advice,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0079,Citizens Advice,Police non-emergency,Email,support79@example.invalid,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0080,Monitoring Officer,Advocacy,Email,support80@example.invalid,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0081,Stop Hate UK,Reporting abuse,In person,https://example.invalid/stop-hate-uk,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0082,Monitoring Officer,Peer support,Telephone,0808 569 6884,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0083,Mind,Police non-emergency,In person,https://example.invalid/mind,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0084,Citizens Advice,Police emergency,24/7 helpline,0808 522 9952,24/7,Local authority,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0085,Cambridgeshire Constabulary,Peer support,24/7 helpline,0808 183 2798,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0086,Samaritans,Online safety,Online form,https://example.invalid/samaritans,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0087,Standards Committee,Victim support,Telephone,0808 817 5115,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0088,Monitoring Officer,Mental health support,Online form,https://example.invalid/monitoring-officer,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0089,Police and Crime Commissioner,Police emergency,Email,support89@example.invalid,24/7,Local authority,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0090,Standards Committee,Peer support,In person,https://example.invalid/standards-committee,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0091,Protection Against Stalking,Victim support,In person,https://example.invalid/protection-against-stalking,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0092,Action Fraud,Online safety,Email,support92@example.invalid,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0093,Samaritans,Peer support,Telephone,0808 258 6242,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0094,Internet Watch Foundation,Police emergency,In person,https://example.invalid/internet-watch-foundation,24/7,Regional,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0095,Cambridgeshire Constabulary,Police non-emergency,24/7 helpline,0808 494 4755,24/7,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0096,Victim Support,Advocacy,Email,support96@example.invalid,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0097,Standards Committee,Peer support,In person,https://example.invalid/standards-committee,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0098,National Cyber Security Centre,Safeguarding referral,Telephone,0808 902 6970,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0099,Internet Watch Foundation,Reporting abuse,Email,support99@example.invalid,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0100,Protection Against Stalking,Standards complaint,Online form,https://example.invalid/protection-against-stalking,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0101,Protection Against Stalking,Safeguarding referral,Online form,https://example.invalid/protection-against-stalking,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0102,Stop Hate UK,Mental health support,24/7 helpline,0808 996 5979,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0103,Stop Hate UK,Reporting abuse,In person,https://example.invalid/stop-hate-uk,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0104,Victim Support,Employer HR route,Email,support104@example.invalid,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0105,Standards Committee,Safeguarding referral,Telephone,0808 289 5171,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0106,Standards Committee,Victim support,24/7 helpline,0808 358 5654,24/7,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0107,Cambridgeshire Constabulary,Legal advice,Telephone,0808 275 5833,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0108,Monitoring Officer,Reporting abuse,Online form,https://example.invalid/monitoring-officer,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0109,Mind,Safeguarding referral,Online form,https://example.invalid/mind,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0110,Local Government Association,Victim support,24/7 helpline,0808 715 1581,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0111,Suzy Lamplugh Trust,Victim support,Online form,https://example.invalid/suzy-lamplugh-trust,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0112,Victim Support,Standards complaint,Online form,https://example.invalid/victim-support,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0113,Internet Watch Foundation,Peer support,24/7 helpline,0808 412 9024,24/7,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0114,Action Fraud,Advocacy,Online form,https://example.invalid/action-fraud,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0115,Citizens Advice,Standards complaint,Online form,https://example.invalid/citizens-advice,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0116,Citizens Advice,Advocacy,Telephone,0808 526 6263,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0117,Monitoring Officer,Police emergency,Telephone,0808 527 7442,24/7,Local authority,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0118,Cambridgeshire Constabulary,Advocacy,In person,https://example.invalid/cambridgeshire-constabulary,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0119,Cambridgeshire Constabulary,Police emergency,Email,support119@example.invalid,24/7,National,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0120,Police and Crime Commissioner,Reporting abuse,Email,support120@example.invalid,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0121,Stop Hate UK,Peer support,In person,https://example.invalid/stop-hate-uk,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0122,Protection Against Stalking,Reporting abuse,Telephone,0808 667 4901,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0123,Mind,Police non-emergency,Telephone,0808 142 1022,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0124,Action Fraud,Police emergency,24/7 helpline,0808 301 6302,24/7,National,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0125,Local Government Association,Standards complaint,24/7 helpline,0808 833 5011,24/7,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0126,Suzy Lamplugh Trust,Peer support,Online form,https://example.invalid/suzy-lamplugh-trust,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0127,Police and Crime Commissioner,Online safety,Telephone,0808 414 2848,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0128,Suzy Lamplugh Trust,Standards complaint,Telephone,0808 219 4212,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0129,Citizens Advice,Online safety,24/7 helpline,0808 550 1510,24/7,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0130,Protection Against Stalking,Legal advice,Email,support130@example.invalid,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0131,National Cyber Security Centre,Employer HR route,Email,support131@example.invalid,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0132,Victim Support,Online safety,Telephone,0808 821 8642,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0133,Mind,Standards complaint,24/7 helpline,0808 326 4653,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0134,Suzy Lamplugh Trust,Police emergency,In person,https://example.invalid/suzy-lamplugh-trust,24/7,Force area,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0135,Citizens Advice,Police non-emergency,Online form,https://example.invalid/citizens-advice,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0136,Internet Watch Foundation,Advocacy,24/7 helpline,0808 376 4970,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0137,Victim Support,Victim support,24/7 helpline,0808 849 9453,24/7,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0138,Suzy Lamplugh Trust,Peer support,Online form,https://example.invalid/suzy-lamplugh-trust,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0139,Local Government Association,Peer support,Online form,https://example.invalid/local-government-association,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0140,Protection Against Stalking,Victim support,24/7 helpline,0808 692 5784,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0141,Citizens Advice,Advocacy,Telephone,0808 712 1095,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0142,Internet Watch Foundation,Peer support,Telephone,0808 171 8895,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0143,Stop Hate UK,Online safety,24/7 helpline,0808 168 3399,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0144,Standards Committee,Safeguarding referral,24/7 helpline,0808 336 8205,24/7,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0145,Internet Watch Foundation,Standards complaint,In person,https://example.invalid/internet-watch-foundation,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0146,Police and Crime Commissioner,Reporting abuse,Email,support146@example.invalid,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0147,Standards Committee,Reporting abuse,Telephone,0808 901 8541,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0148,Monitoring Officer,Reporting abuse,Online form,https://example.invalid/monitoring-officer,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0149,Stop Hate UK,Reporting abuse,24/7 helpline,0808 460 6066,24/7,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0150,Mind,Mental health support,Online form,https://example.invalid/mind,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0151,Samaritans,Online safety,Email,support151@example.invalid,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0152,Monitoring Officer,Mental health support,Telephone,0808 487 2253,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0153,Citizens Advice,Legal advice,In person,https://example.invalid/citizens-advice,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0154,National Cyber Security Centre,Mental health support,Online form,https://example.invalid/national-cyber-security-centre,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0155,Police and Crime Commissioner,Police emergency,24/7 helpline,0808 256 2753,24/7,Regional,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0156,Mind,Safeguarding referral,Telephone,0808 869 7917,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0157,Monitoring Officer,Victim support,Telephone,0808 744 7199,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0158,Mind,Police emergency,Online form,https://example.invalid/mind,24/7,Regional,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0159,Samaritans,Mental health support,Email,support159@example.invalid,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0160,Mind,Peer support,In person,https://example.invalid/mind,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0161,Police and Crime Commissioner,Standards complaint,Email,support161@example.invalid,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0162,Stop Hate UK,Online safety,Email,support162@example.invalid,Mon-Fri 09:00-17:00,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0163,Protection Against Stalking,Standards complaint,Email,support163@example.invalid,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0164,Victim Support,Victim support,24/7 helpline,0808 662 9401,24/7,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0165,Samaritans,Employer HR route,Email,support165@example.invalid,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0166,Standards Committee,Victim support,24/7 helpline,0808 705 5898,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0167,Action Fraud,Advocacy,24/7 helpline,0808 849 6471,24/7,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0168,Standards Committee,Safeguarding referral,24/7 helpline,0808 875 2513,24/7,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0169,Monitoring Officer,Mental health support,Telephone,0808 971 9837,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0170,Internet Watch Foundation,Standards complaint,Telephone,0808 926 6110,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0171,Local Government Association,Mental health support,24/7 helpline,0808 190 6590,24/7,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0172,Stop Hate UK,Reporting abuse,Email,support172@example.invalid,Mon-Fri 09:00-17:00,Regional,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0173,Mind,Police emergency,In person,https://example.invalid/mind,24/7,Force area,True,SYNTHETIC contact details — never dial or email these in a demo.
R-0174,Standards Committee,Safeguarding referral,In person,https://example.invalid/standards-committee,Mon-Fri 09:00-17:00,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0175,Samaritans,Legal advice,In person,https://example.invalid/samaritans,Mon-Fri 09:00-17:00,National,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0176,Protection Against Stalking,Legal advice,24/7 helpline,0808 535 8495,24/7,Force area,False,SYNTHETIC contact details — never dial or email these in a demo.
R-0177,Police and Crime Commissioner,Employer HR route,24/7 helpline,0808 788 7707,24/7,Local authority,False,SYNTHETIC contact details — never dial or email these in a demo.
